year,reg_sk,sex_sk,age,dr
1989,1119,2,15,5.05e-4
1989,1119,2,20,6.82e-4
1989,1119,2,25,5.9e-4
1989,1119,2,30,0.001061
1989,1119,2,35,0.001315
1989,1119,2,40,0.00212
1989,1119,2,45,0.003182
1989,1119,2,50,0.004891
1989,1119,2,55,0.007683
1989,1119,2,60,0.011833
1989,1119,2,65,0.018377
1989,1119,2,70,0.036849
1989,1119,2,75,0.05953
1989,1119,2,80,0.102053
1989,1119,2,85,0.212565
1989,1119,3,0,0.014947
1989,1119,3,1,0.001059
1989,1119,3,5,4.85e-4
1989,1119,3,10,5.33e-4
1989,1119,3,15,9.72e-4
1989,1119,3,20,0.001537
1989,1119,3,25,0.001932
1989,1119,3,30,0.002557
1989,1119,3,35,0.00332
1989,1119,3,40,0.00463
1989,1119,3,45,0.007506
1989,1119,3,50,0.009948
1989,1119,3,55,0.013916
1989,1119,3,60,0.019791
1989,1119,3,65,0.025806
1989,1119,3,70,0.044648
1989,1119,3,75,0.067993
1989,1119,3,80,0.109533
1989,1119,3,85,0.216097
1989,1120,1,0,0.017057
1989,1120,1,1,7.87e-4
1989,1120,1,5,5.97e-4
1989,1120,1,10,5.44e-4
1989,1120,1,15,0.001465
1989,1120,1,20,0.002718
1989,1120,1,25,0.003118
1989,1120,1,30,0.004366
1989,1120,1,35,0.00482
1989,1120,1,40,0.006517
1989,1120,1,45,0.010743
1989,1120,1,50,0.014434
1989,1120,1,55,0.021565
1989,1120,1,60,0.029901
1989,1120,1,65,0.041024
1989,1120,1,70,0.062231
1989,1120,1,75,0.091808
1989,1120,1,80,0.143182
1989,1120,1,85,0.224677
1989,1120,2,0,0.013603
1989,1120,2,1,7.2e-4
1989,1120,2,5,3.54e-4
1989,1120,2,10,2.27e-4
1989,1120,2,15,5.58e-4
1989,1120,2,20,6.67e-4
1989,1120,2,25,8.04e-4
1989,1120,2,30,8e-4
1989,1120,2,35,0.001499
1989,1120,2,40,0.002149
1989,1120,2,45,0.003308
1989,1120,2,50,0.004834
1989,1120,2,55,0.007239
1989,1120,2,60,0.011251
1989,1120,2,65,0.018466
1989,1120,2,70,0.032592
1989,1120,2,75,0.053526
1989,1120,2,80,0.093729
1989,1120,2,85,0.187504
1989,1120,3,0,0.015375
1989,1120,3,1,7.54e-4
1989,1120,3,5,4.78e-4
1989,1120,3,10,3.88e-4
1989,1120,3,15,0.001024
1989,1120,3,20,0.001718
1989,1120,3,25,0.001981
1989,1120,3,30,0.002606
1989,1120,3,35,0.003167
